seed,regime,alpha,delta_Q,delta_r_x,delta_phi,delta_P
20270829,slow reversible + graph reset,0.6000000000000001,0.34166666666666656,0.5855991711220359,-0.3504273504273504,0.22403646508573605
20270829,slow reversible + graph reset,0.65,0.2666666666666666,0.46318642081821815,-0.27350427350427353,0.16375538254276611
20270829,slow reversible + graph reset,0.7000000000000001,0.15833333333333321,0.27218884742840954,-0.1623931623931624,0.0978475315327254
20270829,slow reversible + graph reset,0.75,0.05833333333333324,0.10487762811853552,-0.05982905982905983,0.03862522068777885
20270829,slow reversible + graph reset,0.8,0.0,5.923887624226243e-05,0.0,0.004797753502292501
20270829,slow reversible + graph reset,0.8500000000000001,0.0,-3.277936012247018e-05,0.0,0.0028001996139156438
20270829,slow reversible + graph reset,0.9,0.0,3.277245078270319e-05,0.0,0.0010172546394271453
20270829,slow reversible + graph reset,0.9500000000000001,0.0,1.1243209851463654e-05,0.0,0.000980324477057648
20270829,slow reversible + graph reset,1.0,0.0,0.0,0.0,0.0
20270830,no rewiring,0.0,0.0,0.032888398913555494,0.0,0.005353438262605079
20270830,no rewiring,0.05,0.0,0.03430974584601393,0.0,0.01174883562497786
20270830,no rewiring,0.1,0.0,0.02274106945574067,0.0,0.011946659684658079
20270830,no rewiring,0.15000000000000002,0.0,0.014513255283217563,0.0,0.009004923871431952
20270830,no rewiring,0.2,0.0,0.012387107086732296,0.0,0.008656834229516519
20270830,no rewiring,0.25,0.0,0.005799104602990157,0.0,0.008555444578373705
20270830,no rewiring,0.30000000000000004,0.0,0.00256389557213782,0.0,0.006523634361418229
20270830,no rewiring,0.35000000000000003,0.0,0.0008863252830882407,0.0,0.006735891134682315
20270830,no rewiring,0.4,0.0,0.000359832507767055,0.0,0.004379639847703787
20270830,no rewiring,0.45,0.0,0.0021671267970537755,0.0,0.005246266501218011
20270830,no rewiring,0.5,0.0,0.001593390208944112,0.0,0.0028299329940593143
20270830,no rewiring,0.55,0.0,0.0026709009591605604,0.0,0.0006794464374516584
20270830,no rewiring,0.6000000000000001,0.0,0.001095880716794062,0.0,0.0024546045404811867
20270830,no rewiring,0.65,0.0,-0.001212576781663588,0.0,0.004052589003817886
20270830,no rewiring,0.7000000000000001,0.0,0.001658461108954512,0.0,0.001939453789485679
20270830,no rewiring,0.75,0.0,-0.0008391545645562992,0.0,0.002277478011352696
20270830,no rewiring,0.8,0.0,0.000790324660203845,0.0,0.00357628767280882
20270830,no rewiring,0.8500000000000001,0.0,-0.000970469105562699,0.0,0.0016281760835975545
20270830,no rewiring,0.9,0.0,-0.0020287872942484353,0.0,0.0026520142727589624
20270830,no rewiring,0.9500000000000001,0.0,-0.00033487815051336245,0.0,-0.0004248888944411444
20270830,no rewiring,1.0,0.0,0.0,0.0,0.0
20270830,fast reversible,0.0,0.0,0.0678952966874104,0.0,0.005943913278039462
20270830,fast reversible,0.05,0.0,0.06691665758905224,0.0,0.013488372127509252
20270830,fast reversible,0.1,0.0,0.05803612423474014,0.0,0.014121862684189135
20270830,fast reversible,0.15000000000000002,0.0,0.058987911398384496,0.0,0.01108702377105586
20270830,fast reversible,0.2,0.0,0.04599552337130075,0.0,0.010913950710745357
20270830,fast reversible,0.25,0.0,0.038538741738740445,0.0,0.011957248216727279
20270830,fast reversible,0.30000000000000004,0.0,0.019280249606155986,0.0,0.025966149309957276
20270830,fast reversible,0.35000000000000003,0.125,0.1922638367820465,-0.13043478260869562,0.10923578421561231
20270830,fast reversible,0.4,0.20833333333333331,0.32118775276693035,-0.21739130434782605,0.18654500211855735
20270830,fast reversible,0.45,0.35,0.5699457635495124,-0.3652173913043478,0.28840003880167503
20270830,fast reversible,0.5,0.39166666666666666,0.651736790598386,-0.408695652173913,0.2899065110940503
20270830,fast reversible,0.55,0.35833333333333334,0.6126845145226782,-0.3739130434782609,0.25150416243340934
20270830,fast reversible,0.6000000000000001,0.35000000000000003,0.6031201777297992,-0.3652173913043478,0.221390877795954
20270830,fast reversible,0.65,0.25000000000000006,0.43483766440374916,-0.2608695652173913,0.16637662646461748
20270830,fast reversible,0.7000000000000001,0.10833333333333334,0.1887384652539914,-0.11304347826086956,0.08038556130960917
20270830,fast reversible,0.75,0.025000000000000022,0.045350071134714454,-0.026086956521739132,0.021216382348036467
20270830,fast reversible,0.8,0.0,0.0001194933377575147,0.0,0.0035222263084024874
20270830,fast reversible,0.8500000000000001,0.0,0.0001537012858514597,0.0,0.0006296293522237706
20270830,fast reversible,0.9,0.0,1.4198858885317023e-05,0.0,0.0016923520693964411
20270830,fast reversible,0.9500000000000001,0.0,-1.508616575163213e-05,0.0,-0.001459258976918676
20270830,fast reversible,1.0,0.0,0.0,0.0,0.0
20270830,"fast reversible, slow ramp",0.0,0.0,0.012046328601852896,0.0,-0.0016530433536808345
20270830,"fast reversible, slow ramp",0.05,0.0,-0.011800201050749748,0.0,-0.00010035343818012854
20270830,"fast reversible, slow ramp",0.1,0.0,-0.005086689568610692,0.0,-0.001958474376498348
20270830,"fast reversible, slow ramp",0.15000000000000002,0.0,-0.0031230526888147425,0.0,0.0015571885395801177
20270830,"fast reversible, slow ramp",0.2,0.0,-0.004291425893042045,0.0,-0.0014928342692059893
20270830,"fast reversible, slow ramp",0.25,0.0,0.00025308141673119344,0.0,-0.00043129092929528046
20270830,"fast reversible, slow ramp",0.30000000000000004,0.0,-0.0011017773339796477,0.0,-0.0018076172737656049
20270830,"fast reversible, slow ramp",0.35000000000000003,0.0,0.002399219103796091,0.0,-2.610754569437601e-05
20270830,"fast reversible, slow ramp",0.4,0.1333333333333333,0.22336782983814912,-0.13913043478260867,0.09240028813520507
20270830,"fast reversible, slow ramp",0.45,0.3416666666666666,0.5499225784675243,-0.3565217391304348,0.261402542684471
20270830,"fast reversible, slow ramp",0.5,0.4,0.666522700145117,-0.41739130434782606,0.2937266350954564
20270830,"fast reversible, slow ramp",0.55,0.34166666666666673,0.5803248500466966,-0.3565217391304348,0.2371064958441671
20270830,"fast reversible, slow ramp",0.6000000000000001,0.20833333333333337,0.36537540510835453,-0.21739130434782608,0.14508908959412425
20270830,"fast reversible, slow ramp",0.65,0.0,4.646299781274621e-05,0.0,0.005491589686297704
20270830,"fast reversible, slow ramp",0.7000000000000001,0.0,2.025070419353625e-06,0.0,0.0011949707881373506
20270830,"fast reversible, slow ramp",0.75,0.0,-1.882681949005871e-06,0.0,-0.000355095034418329
20270830,"fast reversible, slow ramp",0.8,0.0,-2.5980636936484558e-05,0.0,0.001011037479365151
20270830,"fast reversible, slow ramp",0.8500000000000001,0.0,-3.771441984490309e-06,0.0,-0.001548273295285174
20270830,"fast reversible, slow ramp",0.9,0.0,-1.000534965411859e-05,0.0,0.002751914601582084
20270830,"fast reversible, slow ramp",0.9500000000000001,0.0,2.3035607062404928e-05,0.0,-0.001542504284896884
20270830,"fast reversible, slow ramp",1.0,0.0,0.0,0.0,0.0
20270830,slow reversible,0.0,0.08333333333333331,0.10542639350633248,-0.08695652173913043,0.030759150174303737
20270830,slow reversible,0.05,0.16666666666666663,0.27061435422969254,-0.17391304347826084,0.07758084956896252
20270830,slow reversible,0.1,0.1833333333333333,0.28175246718635993,-0.19130434782608693,0.11616800873709177
20270830,slow reversible,0.15000000000000002,0.22499999999999998,0.3301171185819137,-0.23478260869565215,0.18189597639548427
20270830,slow reversible,0.2,0.29166666666666663,0.43526717294105155,-0.3043478260869565,0.24793925561405006
20270830,slow reversible,0.25,0.31666666666666665,0.48261406262913026,-0.33043478260869563,0.27471082247550604
20270830,slow reversible,0.30000000000000004,0.31666666666666665,0.483749289206428,-0.33043478260869563,0.2844829992576267
20270830,slow reversible,0.35000000000000003,0.3583333333333333,0.5564624578007988,-0.3739130434782608,0.31145814020539064
20270830,slow reversible,0.4,0.36666666666666664,0.5820394134171156,-0.38260869565217387,0.31208400372740946
