regime,alpha,root_index,G,M,L,C,dominant_real_eigenvalue,stable
"fast-subsystem monostable, no memory",0.2975,0,0.012365825652917672,0.011547777232183967,0.028449598776228668,0.03230964272634374,-0.0007654572820661471,True
"fast-subsystem monostable, no memory",0.3,0,0.012557001214952283,0.011735515154161012,0.029017057106330846,0.0327989099856414,-0.0007656962515186904,True
"fast-subsystem monostable, no memory",0.3025,0,0.012751200780899492,0.011926221647127144,0.02959507421057898,0.033295603865710365,-0.0007659390009761243,True
"fast-subsystem monostable, no memory",0.305,0,0.012948474352152167,0.012119946838749151,0.030183834895518943,0.03379983771937864,-0.0007661855929401903,True
"fast-subsystem monostable, no memory",0.3075,0,0.013148872826137553,0.012316741737985828,0.03078352693719694,0.03431172665269761,-0.000766436091032672,True
"fast-subsystem monostable, no memory",0.31,0,0.01335244801459462,0.01251665825377784,0.03139434112062118,0.03483138755295722,-0.0007666905600182434,True
"fast-subsystem monostable, no memory",0.3125,0,0.0135592526622953,0.012719749214160693,0.03201647127944524,0.03535893911718639,-0.000766949065827869,True
"fast-subsystem monostable, no memory",0.315,0,0.013769340466221736,0.012926068385813878,0.03265011433585928,0.03589450188114639,-0.0007672116755827773,True
"fast-subsystem monostable, no memory",0.3175,0,0.013982766095213737,0.013135670494061278,0.033295470340678146,0.03643819824882929,-0.0007674784576190172,True
"fast-subsystem monostable, no memory",0.32,0,0.014199585210099824,0.013348611243337086,0.033952742513611966,0.03699015252247051,-0.0007677494815126248,True
"fast-subsystem monostable, no memory",0.3225,0,0.014419854484326419,0.013564947338132488,0.03462213728370544,0.0375504909330869,-0.0007680248181054079,True
"fast-subsystem monostable, no memory",0.325,0,0.014643631625100104,0.013784736504438911,0.035303864329931094,0.03811934167155107,-0.0007683045395313751,True
"fast-subsystem monostable, no memory",0.3275,0,0.014870975395058269,0.014008037511703698,0.035998136621920876,0.0386968349202135,-0.0007685887192438229,True
"fast-subsystem monostable, no memory",0.33,0,0.015101945634484117,0.014234910195314934,0.03670517046081943,0.03928310288508368,-0.0007688774320431051,True
"fast-subsystem monostable, no memory",0.3325,0,0.015336603284082602,0.01446541547963255,0.03742518552024231,0.0398782798285826,-0.0007691707541051031,True
"fast-subsystem monostable, no memory",0.335,0,0.015575010408334398,0.014699615401583386,0.03815840488732067,0.040482502102878806,-0.0007694687630104179,True
"fast-subsystem monostable, no memory",0.3375,0,0.015817230219445547,0.014937573134838398,0.03890505510381367,0.04109590818382032,-0.0007697715377743069,True
"fast-subsystem monostable, no memory",0.34,0,0.016063327101911336,0.015179353014591036,0.039665366207268855,0.041718638705476034,-0.000770079158877389,True
"fast-subsystem monostable, no memory",0.3425,0,0.016313366637713322,0.01542502056295621,0.04043957177220978,0.04235083649529941,-0.0007703917082971417,True
"fast-subsystem monostable, no memory",0.34500000000000003,0,0.016567415632169208,0.015674642515009947,0.041227908951328864,0.042992646609928464,-0.0007707092695402115,True
"fast-subsystem monostable, no memory",0.34750000000000003,0,0.01682554214045625,0.01592828684549083,0.04203061851666347,0.0436442163716364,-0.0007710319276755703,True
"fast-subsystem monostable, no memory",0.35000000000000003,0,0.017087815494829246,0.01618602279618467,0.042847944900731134,0.04430569540544735,-0.0007713597693685365,True
"fast-subsystem monostable, no memory",0.3525,0,0.01735430633255511,0.016447920904014722,0.04368013623759917,0.04497723567693195,-0.0007716928829156938,True
"fast-subsystem monostable, no memory",0.355,0,0.01762508662458704,0.016714053029860825,0.044527444403863484,0.045658991530699015,-0.0007720313582807338,True
"fast-subsystem monostable, no memory",0.3575,0,0.017900229705001942,0.016984492388131364,0.04539012505950953,0.046351119729598746,-0.0007723752871312523,True
"fast-subsystem monostable, no memory",0.36,0,0.018179810301225487,0.017259313577112804,0.046268437688627206,0.047053779494653794,-0.0007727247628765318,True
"fast-subsystem monostable, no memory",0.3625,0,0.018463904565070743,0.01753859261012288,0.04716264563995156,0.04776713254573606,-0.0007730798807063385,True
"fast-subsystem monostable, no memory",0.365,0,0.018752590104616502,0.017822406947493877,0.048073016167198154,0.04849134314300553,-0.0007734407376307706,True
"fast-subsystem monostable, no memory",0.3675,0,0.01904594601695323,0.018110835529414095,0.04899982046916299,0.04922657812913069,-0.0007738074325211917,True
"fast-subsystem monostable, no memory",0.37,0,0.01934405292182475,0.01840395880965584,0.049943333729552834,0.0499730069723076,-0.0007741800661522809,True
"fast-subsystem monostable, no memory",0.3725,0,0.0196469929961959,0.018701858790220335,0.050903835156514046,0.05073080181009839,-0.0007745587412452448,True
"fast-subsystem monostable, no memory",0.375,0,0.019954850009776703,0.019004619056930194,0.051881608021823594,0.0515001374941082,-0.0007749435625122209,True
"fast-subsystem monostable, no memory",0.3775,0,0.020267709361535248,0.01931232481600191,0.05287693969970661,0.05228119163552153,-0.0007753346367019191,True
"fast-subsystem monostable, no memory",0.38,0,0.020585658117232536,0.01962506293163162,0.05389012170524266,0.05307414465151891,-0.0007757320726465406,True
"fast-subsystem monostable, no memory",0.3825,0,0.020908785048014238,0.01994292196462925,0.054921449732322096,0.05387917981259648,-0.0007761359813100179,True
"fast-subsystem monostable, no memory",0.385,0,0.021237180670095127,0.020265992212136878,0.05597122369111209,0.0546964832908107,-0.0007765464758376189,True
"fast-subsystem monostable, no memory",0.3875,0,0.02157093728557386,0.02059436574846904,0.05703974774499072,0.055526244208971655,-0.0007769636716069672,True
"fast-subsystem monostable, no memory",0.39,0,0.021910149024417166,0.02092813646711412,0.0581273303469064,0.05636865469080985,-0.0007773876862805214,True
"fast-subsystem monostable, no memory",0.3925,0,0.022254911887654015,0.021267400123937432,0.059234284275118024,0.05722390991214112,-0.0007778186398595675,True
