condition,level,branch,alpha,dwell,structural_reset,reset_applied_here,Q,r,phi,B,polarization,mean_opinion,n_edges,n_bridges
slow,9,up,0.45,80,False,False,0.09968750000000001,0.3574569869310523,0.41025641025641024,1.0,0.4723242939084196,-0.008764907537480725,240,96
slow,10,up,0.5,80,False,False,0.09968750000000001,0.3404749598605209,0.41025641025641024,1.0,0.5182347806327636,-0.00732980324596616,240,96
slow,11,up,0.55,80,False,False,0.15802083333333336,0.47844650588978876,0.3504273504273504,0.8541666666666666,0.5935834334747933,-0.0070334337577001695,240,82
slow,12,up,0.6000000000000001,80,False,False,0.2913541666666667,0.7384078988919116,0.21367521367521367,0.5208333333333334,0.7002900175593669,-0.003587880048130071,240,50
slow,13,up,0.65,80,False,False,0.48302083333333334,0.9830435119633806,0.017094017094017096,0.041666666666666664,0.8316590575587239,0.0020073046659845662,240,4
slow,14,up,0.7000000000000001,80,False,False,0.49135416666666665,0.9913874381412655,0.008547008547008548,0.020833333333333332,0.8722178830921319,0.004105701190304867,240,2
slow,15,up,0.75,80,False,False,0.49135416666666665,0.9901891887424583,0.008547008547008548,0.020833333333333332,0.8850684964429437,0.003407738118967865,240,2
slow,16,up,0.8,80,False,False,0.49135416666666665,0.9889484913446935,0.008547008547008548,0.020833333333333332,0.8967644275267782,0.0027304741175099454,240,2
slow,17,up,0.8500000000000001,80,False,False,0.49135416666666665,0.9876521706979828,0.008547008547008548,0.020833333333333332,0.9074809313282639,0.002059591679113823,240,2
slow,18,up,0.9,80,False,False,0.49135416666666665,0.9862890138565766,0.008547008547008548,0.020833333333333332,0.9173546762888318,0.0013850985764649409,240,2
slow,19,up,0.9500000000000001,80,False,False,0.49135416666666665,0.9848490534732032,0.008547008547008548,0.020833333333333332,0.9264982365388803,0.0007001954646514597,240,2
slow,20,up,1.0,80,False,False,0.49135416666666665,0.9833229402795823,0.008547008547008548,0.020833333333333332,0.935005319496933,1.3627465950127871e-08,240,2
slow,21,down,0.95,80,False,False,0.49135416666666665,0.9848490011365597,0.008547008547008548,0.020833333333333332,0.9264987568711284,0.0007001694944690801,240,2
slow,22,down,0.9,80,False,False,0.49135416666666665,0.986288967996748,0.008547008547008548,0.020833333333333332,0.9173555539578698,0.001385070329023161,240,2
slow,23,down,0.85,80,False,False,0.49135416666666665,0.9876521296946088,0.008547008547008548,0.020833333333333332,0.9074824382263149,0.0020595539023235436,240,2
slow,24,down,0.8,80,False,False,0.49135416666666665,0.9889484521486118,0.008547008547008548,0.020833333333333332,0.8967670441601324,0.0027304096941605403,240,2
slow,25,down,0.75,80,False,False,0.49135416666666665,0.990189140743246,0.008547008547008548,0.020833333333333332,0.8850730773435569,0.0034076012677958234,240,2
slow,26,down,0.7,80,False,False,0.49135416666666665,0.9913877392416093,0.008547008547008548,0.020833333333333332,0.8722331499738019,0.0041066123490318355,240,2
slow,27,down,0.6499999999999999,80,False,False,0.49135416666666665,0.9925623586246244,0.008547008547008548,0.020833333333333332,0.8580382396659569,0.004853359207587926,240,2
slow,28,down,0.6,80,False,False,0.49135416666666665,0.9937410570950759,0.008547008547008548,0.020833333333333332,0.8422203655886532,0.005696202112995169,240,2
slow,29,down,0.55,80,False,False,0.49135416666666665,0.9949783665330891,0.008547008547008548,0.020833333333333332,0.824416388974966,0.006743124459529843,240,2
slow,30,down,0.5,80,False,False,0.49135416666666665,0.9964266239853278,0.008547008547008548,0.020833333333333332,0.8045647000516712,0.008329478631838421,240,2
slow,31,down,0.44999999999999996,80,False,False,0.49135416666666665,0.9985762598033973,0.008547008547008548,0.020833333333333332,0.7871560771709893,0.01200572906781815,240,2
slow,32,down,0.3999999999999999,80,False,False,0.49135416666666665,0.9996796362373626,0.008547008547008548,0.020833333333333332,0.7661089616886338,0.015461517665508937,240,2
slow,33,down,0.35,80,False,False,0.49135416666666665,0.9997058722920761,0.008547008547008548,0.020833333333333332,0.7367788551444161,0.014945296588893398,240,2
slow,34,down,0.29999999999999993,80,False,False,0.49135416666666665,0.9996805936222274,0.008547008547008548,0.020833333333333332,0.7013943269448356,0.013909787211422242,240,2
slow,35,down,0.25,80,False,False,0.49135416666666665,0.999650957580881,0.008547008547008548,0.020833333333333332,0.6585735896702414,0.012688593759413187,240,2
slow,36,down,0.19999999999999996,80,False,False,0.49135416666666665,0.9996193609310736,0.008547008547008548,0.020833333333333332,0.6058377943581625,0.011259786424296332,240,2
slow,37,down,0.1499999999999999,80,False,False,0.49135416666666665,0.9995880089386006,0.008547008547008548,0.020833333333333332,0.539566768740399,0.009581777033129932,240,2
slow,38,down,0.09999999999999998,80,False,False,0.49135416666666665,0.9995607325456338,0.008547008547008548,0.020833333333333332,0.45453023048414964,0.007609808090724947,240,2
slow,39,down,0.04999999999999993,80,False,False,0.49135416666666665,0.9995450554288494,0.008547008547008548,0.020833333333333332,0.34386853154144126,0.005327847341230746,240,2
slow,40,down,0.0,80,False,False,0.49135416666666665,0.9995619342278216,0.008547008547008548,0.020833333333333332,0.20289097186097,0.0028645843893655375,240,2
topology reset,0,up,0.0,20,True,False,0.09968750000000001,0.46293317280055274,0.41025641025641024,1.0,0.04482911354190526,-0.0035107804297089843,240,96
topology reset,1,up,0.05,20,True,False,0.09968750000000001,0.4293406211706257,0.41025641025641024,1.0,0.0791786477303824,-0.004166574472781223,240,96
