draw,area_baseline,area_neutralized,memory_attributable_area,multiplier_gain,multiplier_w_g,multiplier_w_alpha,multiplier_w_m,multiplier_w_l,multiplier_w_c,multiplier_threshold,multiplier_tau_m,multiplier_tau_l,multiplier_tau_c,multiplier_delta_m,multiplier_decay_l,multiplier_consolidate_c,multiplier_recover_c
75,0.5794204711374475,0.00925127952005941,0.5701691916173881,1.0060366436334578,0.9158937686229217,0.8797753864457136,1.0523703777600355,1.1813102821528338,1.115073441469789,1.1612502574434422,0.8603119282654453,1.1420918886615863,0.8313971270157139,0.9290807971580163,0.9764641333751829,0.9805956494902224,0.9346027461925757
76,0.4343560046566151,0.0009323452121253665,0.43342365944448974,1.1615092003165322,0.8153804058163804,1.1451608198029206,1.0459357915660212,1.149141356515655,0.8904088877182038,1.0128512629117514,0.9701778994659997,0.9971228023523532,1.0094943445487228,1.0670750929739228,0.9418712231119034,1.1919542253267903,1.1627524430823564
77,0.3804486390141869,0.022271357956930277,0.35817728105725666,1.0350127141414989,1.0376516517910424,1.1878502158856585,1.0969965803419301,1.0937496997216891,0.8003227333707095,0.915012326452667,0.8827551610172492,0.9940303875427571,1.1940848348973412,0.8382288565906023,1.0419199244930404,0.8784430204526005,0.8567433307791065
78,0.4408774123441855,0.012086903771256496,0.428790508572929,1.1071247098056043,0.8395469617064717,1.0081460247498042,0.8305392386111109,0.8039332359704996,1.1805225728431108,0.9527788762308615,0.939090839097647,0.8786384919560204,0.8383016569894156,0.8640495534330079,0.9409717357020879,1.02512231800432,1.049306352501923
79,0.6183106920348808,0.017172388231418048,0.6011383038034627,1.1929351828425958,0.8353930841878989,0.8681820660523285,0.9998756664200971,1.1668619307771813,1.0320082711997964,1.1080250276958492,1.0266218367220594,0.8953282863215865,0.894724494999838,0.8115184364782855,1.0210311095283715,0.8875625636201357,0.9371086570130682
80,0.4351012746048984,0.002163829556150939,0.4329374450487474,1.110617456144082,0.8715814261132446,1.0489562659512217,0.8729996017002242,1.169333505401633,0.9026275189595704,0.8422704803069299,1.0062104704439006,0.9885662910795755,0.9088921789459729,0.9868876335074476,0.8565967668252015,0.8068961993050076,1.179883030932964
81,0.5351989858774339,0.016727065551176992,0.5184719203262569,1.0030905725489654,0.9807844041983039,0.8954781388332,1.1504024988027879,1.1225390978132337,0.9737173678224261,1.042737448343227,0.8191434630953309,0.8404054452258835,1.1464534558221635,1.0419501117992893,0.9451763221467662,0.9113683151049795,1.0955149706405427
82,0.4338946196300511,0.07590482221422333,0.35798979741582776,1.1556458757638168,1.0631148136982518,1.1182304298818435,1.0620237107705581,1.0723666922093231,1.1773122614096208,0.859900741377181,1.0289098160018355,1.08537867795501,0.8389085047401126,0.8223319410014447,1.0281775342442434,1.0215566449744087,1.1987833059787567
83,0.5346683881934216,1.2489480592947818e-05,0.5346558987128286,0.984332338570949,1.0047086257354851,0.8104947125346064,0.8046516747263701,0.880539741351246,0.8557403787146485,1.135229262330447,1.1587597663436586,0.890999666348469,1.0205932836667297,1.0207998318548206,0.97004339530529,1.185135166499355,1.080860278831541
84,0.5243607451668975,0.044132064031847766,0.4802286811350497,1.0386496752963008,1.0535779917235297,1.008710985153104,1.145488016614647,1.0952357645786133,1.0352244273597395,1.1437409032501185,0.8242093673119544,0.9944044042062612,1.018671275846251,0.9329802530475751,0.9527575360484623,0.9783101845114786,0.8247488893806032
85,0.5465256399546199,0.023935312354245293,0.5225903276003746,0.8807576458981534,1.1779894116346132,0.9029962324309166,1.0672828250320403,1.0624568090168423,1.107506745803268,1.0717063903106396,1.0737557358915009,0.9470676098245805,0.8797197252649722,1.159526265783927,0.8354776856658966,0.8654759788486954,0.8073181399363699
