draw,signed_area,absolute_area,max_absolute_gap,endpoint_state_deficit,endpoint_G_gap,threshold_width,full_system_multistable,multiplier_gain,multiplier_w_g,multiplier_w_alpha,multiplier_w_m,multiplier_w_l,multiplier_w_c,multiplier_threshold,multiplier_tau_m,multiplier_tau_l,multiplier_tau_c,multiplier_delta_m,multiplier_build_0,multiplier_build_alpha,multiplier_decay_l,multiplier_consolidate_c,multiplier_recover_c
218,0.39202169338383647,0.39202169338383647,0.9415428569635663,0.6433263290675079,0.03235205005573616,0.5000000000000001,True,0.8796935299438813,0.9810326876957708,1.0975974599313272,1.13759004128545,0.996139561018082,1.105792504602693,1.0027240592366418,1.0307886175088963,1.0987742265634655,1.0056933124828842,0.8052927624600213,0.980710741890171,1.1131199066584199,1.0640318632297128,0.8171997372908878,1.1085594682105915
219,0.5167849083116224,0.5167849083116224,0.9846847395457812,0.6649968509810373,0.009398230031316132,0.6000000000000001,True,1.098331120987723,1.0142041102197115,1.1521871454039363,1.0961408937592527,1.1833312133842113,1.0899136870710033,1.1247122765304716,0.9234135130579701,0.8266958010663459,0.8599563997475821,0.8069100377592784,1.151101348748215,0.9260807118479296,0.943286780050661,0.9614169826341328,0.9836453676846775
220,0.38865266692273676,0.38865266692273676,0.9748532557084004,0.7240025860489971,0.027008032241767232,0.45000000000000007,True,1.0694057684000877,1.142665551871262,1.1388021702498818,0.8171007439278672,0.943116295071792,0.9334462823455358,0.9376215623899622,0.9460296064243082,1.1726466282561665,0.827635089830324,1.082303955992895,0.8445271991608274,0.9787005580055188,0.9369364042744726,1.0951239060848532,1.164096917508386
221,0.4528489970878595,0.4528489970878595,0.9822318844211456,0.8814758541875293,0.8994192331091607,,True,1.1628547589822387,1.0605389808198755,1.0181287847438285,1.0710373161587727,1.076457025769269,0.9476900615501596,0.8278992331394464,0.8069367998428025,0.8701240801012509,0.8293522192984666,0.8353822770664698,0.8292763293671188,0.8159211686788128,0.9279456576791695,0.9803003886805367,0.8968693547240193
222,0.5147521319893663,0.5147521319893663,0.9651856305524511,0.3959754620463969,0.0025117649090825155,0.6000000000000001,True,1.0736637333725718,0.9187227149543803,0.8089946323742719,0.8040732735559724,0.9776076164700629,0.8354160902650197,1.117534486152425,0.9098223443077167,0.8207746111303884,1.0031512631398336,1.1448185088810885,1.0654997241658641,0.8330186142974607,0.8963800616995681,0.934882626227114,1.078461762208876
223,0.504072398184057,0.504072398184057,0.9705877410229756,0.5873819820686818,0.006196843552701695,0.6000000000000001,True,0.9566522315194933,1.159640558826841,0.9407607367372977,1.0257248422942504,0.8454676340987209,0.8783442944429543,1.1303737489764816,1.1524816909132207,0.9564627154688937,0.8085587746270793,0.8731419239502414,1.107650395803681,0.9305858524741003,0.9887634345240863,1.0306110833867572,1.112068376037942
224,0.5280130550404133,0.5280130550404133,0.9819528711307267,0.5733377221838427,0.00491946567839487,0.6000000000000001,True,1.0017611996607372,1.1962115627183094,1.0290994368327326,1.0880258891341406,1.1864570129528953,0.8537526451886926,1.1982226254374304,0.9780270444546607,1.143451793538215,0.8329388861035439,0.9038775255217559,1.138537737015869,0.8048535326731242,0.8819978362937984,0.9789917108360621,1.1304011471972788
225,0.4123411062673562,0.4123411062673562,0.9609900030359554,0.452124376066425,0.0027854160209128034,0.5000000000000001,True,1.0356245034443285,0.8268915872543611,1.0676488349372846,1.0232073078701478,0.987044458708954,0.8587316001839435,1.176260714834384,0.8081344144054118,1.0089129439591478,0.9931694643985417,0.9484131207042148,0.9160990643944023,0.9582906943239836,0.8939111875366723,0.902269764972048,0.9537314861146751
226,0.41861174646543803,0.41861174646543803,0.9632028461161091,0.6678092705565996,0.0270724775892174,0.5000000000000001,True,0.9917546402924833,0.9277311036006899,1.1746415587778967,1.0509352534450576,1.1259530316241315,1.124818510371309,1.018503698517745,1.029166093343106,0.8529484591819285,1.1355317342524516,0.8515101143469525,1.0539600834315954,0.8440452611844318,0.9475509728409978,1.0724600655357523,1.0403559102141309
227,0.4795416924148025,0.4795416924148025,0.9601024334016827,0.8472214318073676,0.7877120989081653,,True,0.9655494393023883,1.076342888535301,0.868161580113151,0.9168098796669361,1.0835167610799545,0.968296548968015,0.8368489686880405,1.139364892709659,0.9918002156606629,0.962354130797292,0.8274925822954102,1.1404783771956621,1.1526650178133377,0.880137149920472,0.9562425646323744,0.9682333660460529
